rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_or_late_groups
2660,539298,356407,mobile,ended,0.0,539220.0,30.0,time delta btw 0 and 45 min,early less than 45 min
2663,539385,355817,mobile,ended,111.0,535816.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
2668,539733,384479,mobile,ended,73.0,526536.0,660.0,time delta > 45 min,late btw 45 min and 2 hour
2681,540372,385721,connect,ended,48.0,516961.0,0.0,time delta btw 0 and 45 min,late btw 45 min and 2 hour
2701,541493,285241,connect,ended,226.0,562771.0,540.0,time delta > 45 min,late btw 3 and 4 hours
2711,551242,406995,mobile,ended,132.0,537861.0,540.0,time delta > 45 min,late btw 2 and 3 hours
2712,551310,319886,connect,ended,-636.0,565483.0,510.0,time delta > 45 min,early more than 45 min
2728,552168,412021,mobile,ended,-8.0,553299.0,360.0,time delta > 45 min,early less than 45 min
2742,559883,364783,mobile,ended,49.0,555469.0,660.0,time delta > 45 min,late btw 45 min and 2 hour
2754,560696,399528,connect,ended,-865.0,526657.0,600.0,time delta > 45 min,early more than 45 min
2793,524276,374486,mobile,ended,50.0,541215.0,510.0,time delta > 45 min,late btw 45 min and 2 hour
2804,528872,395598,mobile,ended,-8.0,548852.0,210.0,time delta > 45 min,early less than 45 min
2826,561125,195977,connect,ended,-110.0,565777.0,30.0,time delta btw 0 and 45 min,early more than 45 min
2839,562027,379931,mobile,ended,29.0,557945.0,30.0,time delta btw 0 and 45 min,late <= 45 min
2857,565610,385073,mobile,ended,-18.0,555340.0,120.0,time delta > 45 min,early less than 45 min
2864,566508,307439,mobile,ended,319.0,559522.0,90.0,time delta > 45 min,late btw 4 and 6 hours
2869,566923,346519,mobile,ended,-43.0,563977.0,360.0,time delta > 45 min,early less than 45 min
2875,567517,358103,mobile,ended,5.0,561286.0,0.0,time delta btw 0 and 45 min,late <= 45 min
2890,568976,375834,mobile,ended,91.0,566493.0,60.0,time delta > 45 min,late btw 45 min and 2 hour
2894,505560,320824,connect,ended,-137.0,532695.0,120.0,time delta > 45 min,early more than 45 min
2901,510586,393908,mobile,ended,0.0,525150.0,300.0,time delta > 45 min,early less than 45 min
2921,523250,364907,connect,ended,-16.0,549567.0,30.0,time delta btw 0 and 45 min,early less than 45 min
2951,533798,404688,mobile,ended,-27.0,524948.0,270.0,time delta > 45 min,early less than 45 min
2968,563443,342699,connect,ended,-1.0,566561.0,570.0,time delta > 45 min,early less than 45 min
2985,564518,389104,mobile,ended,7.0,546382.0,30.0,time delta btw 0 and 45 min,late <= 45 min
2997,565759,409863,mobile,ended,266.0,564788.0,30.0,time delta btw 0 and 45 min,late btw 4 and 6 hours
3018,518368,368132,mobile,ended,-77.0,535618.0,720.0,time delta > 45 min,early more than 45 min
