rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,late_groups
139,551137,295783,connect,ended,16.0,,,time delta > 2 hours,late <= 1 hour
140,551179,304570,mobile,ended,536.0,,,time delta > 2 hours,late btw 6h and 1 day
141,551227,341710,mobile,ended,159.0,,,time delta > 2 hours,late btw 2 and 3 hours
142,551364,406062,connect,ended,34.0,,,time delta > 2 hours,late <= 1 hour
143,551429,277888,mobile,ended,203.0,,,time delta > 2 hours,late btw 3 and 4 hours
144,551679,381233,mobile,ended,275.0,,,time delta > 2 hours,late btw 4 and 6 hours
145,551907,171249,mobile,ended,11.0,,,time delta > 2 hours,late <= 1 hour
146,552204,348625,mobile,ended,91.0,,,time delta > 2 hours,late btw 1 and 2 hours
147,552209,412676,mobile,ended,23.0,,,time delta > 2 hours,late <= 1 hour
148,552233,245154,connect,ended,4.0,,,time delta > 2 hours,late <= 1 hour
149,552330,384657,connect,ended,23.0,554800.0,0.0,time delta btw 0 and 2 hours,late <= 1 hour
150,552389,307335,mobile,ended,6.0,,,time delta > 2 hours,late <= 1 hour
151,552655,406081,mobile,ended,322.0,,,time delta > 2 hours,late btw 4 and 6 hours
152,552677,323777,mobile,ended,31.0,,,time delta > 2 hours,late <= 1 hour
153,552700,348673,mobile,ended,63.0,,,time delta > 2 hours,late btw 1 and 2 hours
154,552716,294883,mobile,ended,10.0,,,time delta > 2 hours,late <= 1 hour
155,552850,315136,connect,ended,40.0,,,time delta > 2 hours,late <= 1 hour
156,552964,384385,mobile,ended,20.0,,,time delta > 2 hours,late <= 1 hour
157,553153,276924,mobile,ended,5.0,,,time delta > 2 hours,late <= 1 hour
158,553354,401166,mobile,ended,7.0,,,time delta > 2 hours,late <= 1 hour
159,553367,385783,mobile,ended,24.0,519328.0,150.0,time delta > 2 hours,late <= 1 hour
160,553511,363658,mobile,ended,170.0,,,time delta > 2 hours,late btw 2 and 3 hours
161,553755,393972,mobile,ended,1.0,,,time delta > 2 hours,late <= 1 hour
162,553795,402528,connect,ended,11.0,,,time delta > 2 hours,late <= 1 hour
163,554025,293785,mobile,ended,37.0,,,time delta > 2 hours,late <= 1 hour
164,554572,380002,mobile,ended,358.0,,,time delta > 2 hours,late btw 4 and 6 hours
165,554695,402993,mobile,ended,17.0,560722.0,720.0,time delta > 2 hours,late <= 1 hour
166,555083,328013,mobile,ended,161.0,,,time delta > 2 hours,late btw 2 and 3 hours
167,555131,324889,mobile,ended,146.0,,,time delta > 2 hours,late btw 2 and 3 hours
168,555794,327585,mobile,ended,19.0,,,time delta > 2 hours,late <= 1 hour
169,555992,375774,mobile,ended,58.0,,,time delta > 2 hours,late <= 1 hour
170,556072,320670,mobile,ended,21.0,,,time delta > 2 hours,late <= 1 hour
171,556143,407632,mobile,ended,181.0,,,time delta > 2 hours,late btw 3 and 4 hours
172,556483,413896,mobile,ended,14.0,,,time delta > 2 hours,late <= 1 hour
173,556488,296213,mobile,ended,8.0,,,time delta > 2 hours,late <= 1 hour
174,556580,397878,mobile,ended,77.0,,,time delta > 2 hours,late btw 1 and 2 hours
175,556696,234356,mobile,ended,59.0,,,time delta > 2 hours,late <= 1 hour
176,556755,395962,mobile,ended,98.0,,,time delta > 2 hours,late btw 1 and 2 hours
177,556986,402773,mobile,ended,23.0,,,time delta > 2 hours,late <= 1 hour
178,556999,406205,mobile,ended,14.0,,,time delta > 2 hours,late <= 1 hour
179,557296,387427,mobile,ended,7.0,,,time delta > 2 hours,late <= 1 hour
180,557504,327732,mobile,ended,55.0,,,time delta > 2 hours,late <= 1 hour
181,557512,412816,mobile,ended,101.0,,,time delta > 2 hours,late btw 1 and 2 hours
182,557514,405433,mobile,ended,47.0,,,time delta > 2 hours,late <= 1 hour
183,557535,401623,mobile,ended,21.0,,,time delta > 2 hours,late <= 1 hour
184,557674,375915,mobile,ended,15.0,550183.0,480.0,time delta > 2 hours,late <= 1 hour
185,557681,410151,mobile,ended,122.0,,,time delta > 2 hours,late btw 2 and 3 hours
186,557685,272724,mobile,ended,996.0,,,time delta > 2 hours,late btw 6h and 1 day
187,557833,351547,mobile,ended,67.0,,,time delta > 2 hours,late btw 1 and 2 hours
188,558424,318867,mobile,ended,173.0,,,time delta > 2 hours,late btw 2 and 3 hours
189,558557,410258,mobile,ended,20.0,,,time delta > 2 hours,late <= 1 hour
190,558561,326755,mobile,ended,72.0,,,time delta > 2 hours,late btw 1 and 2 hours
191,558583,326578,mobile,ended,3.0,,,time delta > 2 hours,late <= 1 hour
192,558709,316772,mobile,ended,102.0,,,time delta > 2 hours,late btw 1 and 2 hours
193,559078,340616,connect,ended,27.0,,,time delta > 2 hours,late <= 1 hour
194,559318,344677,mobile,ended,2.0,,,time delta > 2 hours,late <= 1 hour
195,559331,369354,mobile,ended,89.0,,,time delta > 2 hours,late btw 1 and 2 hours
196,559435,281955,mobile,ended,18.0,553797.0,60.0,time delta btw 0 and 2 hours,late <= 1 hour
197,559781,408776,mobile,ended,44.0,540868.0,0.0,time delta btw 0 and 2 hours,late <= 1 hour
198,559817,394117,mobile,ended,21.0,,,time delta > 2 hours,late <= 1 hour
199,560079,288452,mobile,ended,52.0,,,time delta > 2 hours,late <= 1 hour
200,560886,375755,mobile,ended,84.0,,,time delta > 2 hours,late btw 1 and 2 hours
201,561083,334859,mobile,ended,65.0,,,time delta > 2 hours,late btw 1 and 2 hours
202,561111,337217,mobile,ended,10.0,,,time delta > 2 hours,late <= 1 hour
203,561383,411754,connect,ended,173.0,,,time delta > 2 hours,late btw 2 and 3 hours
204,561450,192179,connect,ended,7.0,541144.0,540.0,time delta > 2 hours,late <= 1 hour
205,561596,364996,mobile,ended,108.0,,,time delta > 2 hours,late btw 1 and 2 hours
206,562173,394024,mobile,ended,73.0,,,time delta > 2 hours,late btw 1 and 2 hours
207,562174,381499,connect,ended,73.0,,,time delta > 2 hours,late btw 1 and 2 hours
