rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups,early_groups
184,519450,358846,mobile,ended,-12.0,,,time delta > 2 hours,early less than 2 hours
185,519451,251815,connect,ended,-76.0,,,time delta > 2 hours,early less than 2 hours
186,520580,168079,mobile,ended,-20.0,,,time delta > 2 hours,early less than 2 hours
187,520711,402078,mobile,ended,-17.0,,,time delta > 2 hours,early less than 2 hours
188,520750,337219,connect,ended,-154.0,,,time delta > 2 hours,early more than 2 hours
189,521526,282208,mobile,ended,-53.0,,,time delta > 2 hours,early less than 2 hours
190,523920,363431,mobile,ended,-25.0,,,time delta > 2 hours,early less than 2 hours
191,524487,380866,mobile,ended,-15.0,545830.0,120.0,time delta btw 0 and 2 hours,early less than 2 hours
192,529492,207715,mobile,ended,-169.0,,,time delta > 2 hours,early more than 2 hours
193,529693,281955,mobile,ended,-67.0,,,time delta > 2 hours,early less than 2 hours
194,530325,356434,mobile,ended,-101.0,,,time delta > 2 hours,early less than 2 hours
195,531233,276202,mobile,ended,-19.0,,,time delta > 2 hours,early less than 2 hours
196,531451,378003,mobile,ended,0.0,,,time delta > 2 hours,early less than 2 hours
197,532393,406388,mobile,ended,-54.0,,,time delta > 2 hours,early less than 2 hours
198,532695,320824,connect,ended,0.0,,,time delta > 2 hours,early less than 2 hours
199,533129,405683,mobile,ended,-138.0,,,time delta > 2 hours,early more than 2 hours
200,565548,373925,mobile,ended,-10.0,,,time delta > 2 hours,early less than 2 hours
201,565581,374698,mobile,ended,-16.0,,,time delta > 2 hours,early less than 2 hours
202,566331,328506,mobile,ended,-97.0,,,time delta > 2 hours,early less than 2 hours
203,566661,390467,connect,ended,-651.0,569297.0,570.0,time delta > 2 hours,early more than 2 hours
204,566709,313772,connect,ended,-73.0,,,time delta > 2 hours,early less than 2 hours
205,566908,164960,connect,ended,-44.0,,,time delta > 2 hours,early less than 2 hours
206,567278,241021,connect,ended,-425.0,563925.0,240.0,time delta > 2 hours,early more than 2 hours
207,567365,279764,mobile,ended,-35.0,,,time delta > 2 hours,early less than 2 hours
208,567423,402980,connect,ended,-125.0,,,time delta > 2 hours,early more than 2 hours
209,567442,410939,connect,ended,-353.0,,,time delta > 2 hours,early more than 2 hours
210,567446,366025,mobile,ended,-29.0,,,time delta > 2 hours,early less than 2 hours
211,567654,358772,connect,ended,-90.0,,,time delta > 2 hours,early less than 2 hours
212,568206,412469,mobile,ended,-12.0,,,time delta > 2 hours,early less than 2 hours
213,569081,291932,connect,ended,-19.0,,,time delta > 2 hours,early less than 2 hours
214,569498,402528,connect,ended,-173.0,562527.0,630.0,time delta > 2 hours,early more than 2 hours
