rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_previous_rental_groups
184,545922,409695,mobile,ended,-80.0,,,time delta > 2 hours
185,545947,396470,mobile,ended,-44.0,,,time delta > 2 hours
186,546024,381038,mobile,ended,163.0,,,time delta > 2 hours
187,546150,242106,mobile,ended,-2.0,,,time delta > 2 hours
188,546169,409274,mobile,ended,10.0,,,time delta > 2 hours
189,546252,408509,mobile,ended,-52.0,,,time delta > 2 hours
190,546477,383309,mobile,ended,16.0,548486.0,660.0,time delta > 2 hours
191,546484,409391,mobile,ended,92.0,,,time delta > 2 hours
192,546564,392732,mobile,ended,7.0,,,time delta > 2 hours
193,546745,342645,connect,ended,-55.0,,,time delta > 2 hours
194,546822,394781,mobile,ended,30.0,,,time delta > 2 hours
195,546865,399535,mobile,ended,261.0,,,time delta > 2 hours
196,546888,295783,connect,ended,84.0,,,time delta > 2 hours
197,546935,348526,connect,ended,85.0,,,time delta > 2 hours
198,546938,410452,mobile,ended,10.0,,,time delta > 2 hours
199,546957,405122,mobile,ended,-113.0,,,time delta > 2 hours
200,546991,377219,connect,ended,423.0,,,time delta > 2 hours
201,547033,276276,mobile,ended,500.0,,,time delta > 2 hours
202,547122,385574,connect,ended,-5.0,,,time delta > 2 hours
203,547160,409344,mobile,ended,1.0,,,time delta > 2 hours
204,547177,214635,connect,ended,-548.0,,,time delta > 2 hours
205,547188,231676,mobile,ended,266.0,535868.0,30.0,time delta btw 0 and 2 hours
206,547198,381684,mobile,ended,145.0,,,time delta > 2 hours
207,547223,188944,connect,ended,8.0,,,time delta > 2 hours
208,547236,392147,mobile,ended,-8.0,,,time delta > 2 hours
209,547348,374614,mobile,ended,74.0,,,time delta > 2 hours
210,547557,408406,mobile,ended,126.0,,,time delta > 2 hours
211,548028,409718,mobile,ended,15.0,,,time delta > 2 hours
212,548215,367346,mobile,ended,-8.0,,,time delta > 2 hours
213,548279,317330,connect,ended,-692.0,,,time delta > 2 hours
214,548352,409458,mobile,ended,195.0,,,time delta > 2 hours
215,548598,288973,mobile,ended,-133.0,,,time delta > 2 hours
216,548603,363820,mobile,ended,-22.0,,,time delta > 2 hours
217,548646,282893,mobile,ended,201.0,,,time delta > 2 hours
218,548702,406104,mobile,ended,21.0,,,time delta > 2 hours
219,548897,278005,mobile,ended,-307.0,,,time delta > 2 hours
220,548904,373316,mobile,ended,-40.0,,,time delta > 2 hours
221,548912,411521,mobile,ended,225.0,553683.0,60.0,time delta btw 0 and 2 hours
222,549047,369608,mobile,ended,-37.0,,,time delta > 2 hours
223,549261,360829,mobile,ended,-12.0,,,time delta > 2 hours
224,549266,411687,mobile,ended,-11.0,,,time delta > 2 hours
225,549273,175887,connect,ended,-26.0,,,time delta > 2 hours
226,549290,364907,connect,ended,-49.0,,,time delta > 2 hours
227,549340,181607,mobile,ended,381.0,,,time delta > 2 hours
228,549345,369881,connect,ended,22.0,,,time delta > 2 hours
229,549444,177058,mobile,ended,144.0,,,time delta > 2 hours
230,549446,391174,mobile,ended,69.0,,,time delta > 2 hours
231,549499,408814,mobile,ended,19.0,,,time delta > 2 hours
232,549558,328016,mobile,ended,10.0,,,time delta > 2 hours
233,549579,273263,mobile,ended,-5.0,,,time delta > 2 hours
234,549674,390702,connect,ended,-127.0,,,time delta > 2 hours
235,549692,358131,mobile,ended,-158.0,,,time delta > 2 hours
236,549808,310219,connect,ended,54.0,,,time delta > 2 hours
237,549874,409690,mobile,ended,3.0,,,time delta > 2 hours
238,549901,383481,mobile,ended,201.0,,,time delta > 2 hours
239,549923,407730,mobile,ended,167.0,,,time delta > 2 hours
240,550000,378182,mobile,ended,-136.0,,,time delta > 2 hours
241,550134,294883,mobile,ended,-158.0,,,time delta > 2 hours
242,550211,407838,mobile,ended,20.0,,,time delta > 2 hours
